Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-04-29,2025-04-29,0052,Kindle Unltd*NB9TR3GF2,Entertainment,11.99,
2025-04-19,2025-04-19,0052,INTEREST CHARGE:PURCHASES,Fee/Interest Charge,5.40,
2025-04-17,2025-04-18,0052,OURARING INC.,Merchandise,6.36,
2025-04-17,2025-04-18,0052,Disney Plus,Phone/Cable,10.99,
2025-04-17,2025-04-17,0052,Google One,Internet,2.13,
2025-04-16,2025-04-16,0052,CAPITAL ONE MOBILE PYMT,Payment/Credit,,345.66
2025-04-15,2025-04-15,0052,PAST DUE FEE,Fee/Interest Charge,25.00,
2025-04-15,2025-04-15,0052,AMAZON MARK* 5A1K718B3,Merchandise,9.55,
2025-04-11,2025-04-12,0052,CANVA* I04483-92676354,Other Services,12.99,
2025-04-09,2025-04-10,0052,"SHUTTERFLY, INC.",Other Services,54.13,
2025-04-03,2025-04-03,0052,AMAZON MKTPL*BA3338753,Merchandise,12.95,

